UniProt1	UniProt2	symbol1	symbol2	evidence type	heart
O14656	O14656	TOR1A	TOR1A	exp	1
O14818	O14818	PSMA7	PSMA7	exp;pred	1
O00308	O14828	WWP2	SCAMP3	exp	1
O00410	O14828	IPO5	SCAMP3	exp	1
O00148	O14862	DDX39A	AIM2	exp	1
O14862	O14862	AIM2	AIM2	exp;ortho	1
O14879	O14879	IFIT3	IFIT3	exp	1
O14920	O14920	IKBKB	IKBKB	exp;ortho	1
O00221	O14920	NFKBIE	IKBKB	exp;pred	1
O00483	O14949	NDUFA4	UQCRQ	exp;pred	1
A1L0T0	O14949	ILVBL	UQCRQ	exp	1
O00303	O14949	EIF3F	UQCRQ	exp	1
O14958	O14958	CASQ2	CASQ2	exp;pred	1
O00206	O14964	TLR4	HGS	exp	1
O14828	O14964	SCAMP3	HGS	exp;pred	1
O14965	O14965	AURKA	AURKA	exp;pred	1
O14920	O14965	IKBKB	AURKA	exp;pred	1
O00743	O14965	PPP6C	AURKA	exp	1
O14879	O14979	IFIT3	HNRNPDL	exp	1
O00571	O14979	DDX3X	HNRNPDL	exp	1
O14964	O14979	HGS	HNRNPDL	exp	1
O14641	O14980	DVL2	XPO1	exp	1
A6NKD9	O14980	CCDC85C	XPO1	exp	1
O00221	O14980	NFKBIE	XPO1	exp	1
O14980	O14980	XPO1	XPO1	exp;ortho	1
O00571	O14980	DDX3X	XPO1	exp	1
O14787	O14980	TNPO2	XPO1	exp;pred	1
O00743	O14980	PPP6C	XPO1	exp;ortho	1
O14579	O14980	COPE	XPO1	exp	1
O00203	O14980	AP3B1	XPO1	exp	1
O14965	O14980	AURKA	XPO1	exp	1
O14640	O14980	DVL1	XPO1	exp	1
O14617	O14980	AP3D1	XPO1	exp;ortho	1
O00165	O14980	HAX1	XPO1	exp	1
O00410	O14980	IPO5	XPO1	exp;pred	1
O14639	O14980	ABLIM1	XPO1	exp	1
O00750	O14980	PIK3C2B	XPO1	exp	1
B0YJ81	O14980	HACD1	XPO1	exp	1
O00159	O15042	MYO1C	U2SURP	exp	1
O00273	O15067	DFFA	PFAS	exp	1
O15105	O15105	SMAD7	SMAD7	exp	1
O00308	O15105	WWP2	SMAD7	exp;pred	1
O14640	O15105	DVL1	SMAD7	exp;ortho;pred	1
O15123	O15123	ANGPT2	ANGPT2	exp	1
O14763	O15126	TNFRSF10B	SCAMP1	exp	1
O15126	O15126	SCAMP1	SCAMP1	exp	1
O00161	O15126	SNAP23	SCAMP1	exp;pred	1
O00165	O15126	HAX1	SCAMP1	exp	1
O00410	O15131	IPO5	KPNA5	exp;pred	1
O14980	O15143	XPO1	ARPC1B	exp	1
O00159	O15143	MYO1C	ARPC1B	exp	1
O14965	O15143	AURKA	ARPC1B	exp	1
O15143	O15144	ARPC1B	ARPC2	exp;ortho;pred	1
O14965	O15144	AURKA	ARPC2	exp	1
O14980	O15144	XPO1	ARPC2	exp	1
O00303	O15198	EIF3F	SMAD9	exp	1
O15105	O15198	SMAD7	SMAD9	exp;pred	1
O15198	O15198	SMAD9	SMAD9	exp;pred	1
O15217	O15217	GSTA4	GSTA4	exp;pred	1
O00571	O15264	DDX3X	MAPK13	exp	1
O00233	O15264	PSMD9	MAPK13	exp	1
O00762	O15355	UBE2C	PPM1G	exp	1
O00308	O15355	WWP2	PPM1G	exp	1
O14579	O15355	COPE	PPM1G	exp	1
O00459	O15357	PIK3R2	INPPL1	exp;pred	1
O00571	O15357	DDX3X	INPPL1	exp	1
O14980	O15357	XPO1	INPPL1	exp	1
O00165	O15371	HAX1	EIF3D	exp	1
O00303	O15371	EIF3F	EIF3D	exp;pred	1
O00571	O15371	DDX3X	EIF3D	exp;pred	1
O14980	O15371	XPO1	EIF3D	exp	1
O15379	O15379	HDAC3	HDAC3	exp	1
O14980	O15379	XPO1	HDAC3	exp;pred	1
O15105	O15379	SMAD7	HDAC3	exp;pred	1
O14965	O15392	AURKA	BIRC5	exp;pred	1
O14980	O15392	XPO1	BIRC5	exp;pred	1
O15392	O15392	BIRC5	BIRC5	exp;ortho	1
O15355	O15397	PPM1G	IPO8	exp	1
O00505	O15397	KPNA3	IPO8	exp	1
O14641	O15397	DVL2	IPO8	exp	1
O14653	O15400	GOSR2	STX7	exp;pred	1
O00161	O15400	SNAP23	STX7	exp;pred	1
O15400	O15498	STX7	YKT6	exp;pred	1
O15143	O15511	ARPC1B	ARPC5	exp;pred	1
O15144	O15511	ARPC2	ARPC5	exp;pred	1
O00459	O15524	PIK3R2	SOCS1	exp;pred	1
O15530	O15530	PDPK1	PDPK1	exp	1
O14980	O15530	XPO1	PDPK1	exp	1
O15198	O15550	SMAD9	KDM6A	exp	1
O00483	O43169	NDUFA4	CYB5B	exp	1
O00221	O43172	NFKBIE	PRPF4	exp	1
O43172	O43172	PRPF4	PRPF4	exp	1
O43143	O43172	DHX15	PRPF4	exp;pred	1
O14980	O43172	XPO1	PRPF4	exp	1
O14980	O43175	XPO1	PHGDH	exp	1
O15264	O43175	MAPK13	PHGDH	exp	1
O00422	O43175	SAP18	PHGDH	exp	1
O14818	O43242	PSMA7	PSMD3	exp;pred	1
O00233	O43242	PSMD9	PSMD3	exp;pred	1
O43251	O43251	RBFOX2	RBFOX2	exp;ortho	1
O14880	O43301	MGST3	HSPA12A	exp	1
O15194	O43301	CTDSPL	HSPA12A	exp	1
O14965	O43316	AURKA	PAX4	exp	1
O15530	O43318	PDPK1	MAP3K7	exp;pred	1
O14964	O43318	HGS	MAP3K7	exp;pred	1
O14920	O43318	IKBKB	MAP3K7	exp;ortho;pred	1
O43318	O43318	MAP3K7	MAP3K7	exp;ortho	1
O15105	O43318	SMAD7	MAP3K7	exp;pred	1
O15304	O43318	SIVA1	MAP3K7	exp	1
O14980	O43318	XPO1	MAP3K7	exp;pred	1
O00743	O43318	PPP6C	MAP3K7	exp;ortho;pred	1
O14818	O43353	PSMA7	RIPK2	exp	1
O43318	O43353	MAP3K7	RIPK2	exp;ortho;pred	1
O43353	O43353	RIPK2	RIPK2	exp	1
O00206	O43353	TLR4	RIPK2	exp;pred	1
O43242	O43396	PSMD3	TXNL1	exp	1
O43464	O43464	HTRA2	HTRA2	exp	1
O15264	O43464	MAPK13	HTRA2	exp	1
O00165	O43464	HAX1	HTRA2	exp;ortho	1
O00203	O43491	AP3B1	EPB41L2	exp	1
O00308	O43516	WWP2	WIPF1	exp	1
O00267	O43516	SUPT5H	WIPF1	exp	1
O14965	O43521	AURKA	BCL2L11	exp	1
O43521	O43521	BCL2L11	BCL2L11	exp	1
O14920	O43524	IKBKB	FOXO3	exp;pred	1
O43521	O43524	BCL2L11	FOXO3	exp;pred	1
O43524	O43524	FOXO3	FOXO3	exp;ortho	1
O14980	O43524	XPO1	FOXO3	exp;pred	1
O00182	O43567	LGALS9	RNF13	exp	1
O00214	O43567	LGALS8	RNF13	exp	1
O43291	O43567	SPINT2	RNF13	exp	1
O14617	O43567	AP3D1	RNF13	exp	1
O43396	O43592	TXNL1	XPOT	exp	1
O14964	O43597	HGS	SPRY2	exp	1
O43597	O43597	SPRY2	SPRY2	exp;ortho	1
O43561	O43609	LAT	SPRY1	exp	1
O43597	O43609	SPRY2	SPRY1	exp;ortho;pred	1
O43615	O43615	TIMM44	TIMM44	exp;ortho	1
O00483	O43615	NDUFA4	TIMM44	exp	1
O14925	O43615	TIMM23	TIMM44	exp;pred	1
O00422	O43665	SAP18	RGS10	exp	1
O43670	O43670	ZNF207	ZNF207	exp	1
O00483	O43678	NDUFA4	NDUFA2	exp;pred	1
O43615	O43678	TIMM44	NDUFA2	exp	1
O14949	O43678	UQCRQ	NDUFA2	exp;pred	1
O43670	O43684	ZNF207	BUB3	exp;ortho;pred	1
O14980	O43684	XPO1	BUB3	exp;pred	1
O43719	O43719	HTATSF1	HTATSF1	exp;pred	1
O00267	O43719	SUPT5H	HTATSF1	exp;pred	1
O14617	O43719	AP3D1	HTATSF1	exp	1
O43741	O43741	PRKAB2	PRKAB2	exp	1
O43597	O43741	SPRY2	PRKAB2	exp	1
O43791	O43791	SPOP	SPOP	exp	1
O00159	O43795	MYO1C	MYO1B	exp;pred	1
O00716	O43795	E2F3	MYO1B	exp	1
B0YJ81	O43795	HACD1	MYO1B	exp	1
O15379	O43809	HDAC3	NUDT21	exp	1
O15121	O43809	DEGS1	NUDT21	exp	1
O43809	O43809	NUDT21	NUDT21	exp;ortho	1
O43318	O43809	MAP3K7	NUDT21	exp;pred	1
O00308	O43809	WWP2	NUDT21	exp	1
O15379	O43823	HDAC3	AKAP8	exp;pred	1
O00716	O43823	E2F3	AKAP8	exp	1
O43829	O43829	ZBTB14	ZBTB14	exp	1
O00505	O43847	KPNA3	NRDC	exp	1
O43847	O43847	NRDC	NRDC	exp	1
O15379	O43847	HDAC3	NRDC	exp	1
O43865	O43865	AHCYL1	AHCYL1	exp;pred	1
O00762	O43865	UBE2C	AHCYL1	exp	1
O00233	O43865	PSMD9	AHCYL1	exp	1
O14964	O43865	HGS	AHCYL1	exp	1
O15355	O43865	PPM1G	AHCYL1	exp	1
O14980	O43865	XPO1	AHCYL1	exp	1
A0MZ66	O43865	SHTN1	AHCYL1	exp	1
O43169	O43889	CYB5B	CREB3	exp	1
O15400	O43889	STX7	CREB3	exp	1
O43759	O43889	SYNGR1	CREB3	exp	1
O00203	O43889	AP3B1	CREB3	exp	1
O00180	O43889	KCNK1	CREB3	exp	1
O43889	O43889	CREB3	CREB3	exp	1
O43561	O43889	LAT	CREB3	exp	1
O15379	O43889	HDAC3	CREB3	exp	1
O43913	O43913	ORC5	ORC5	exp;ortho	1
O14980	O60231	XPO1	DHX16	exp	1
O60238	O60238	BNIP3L	BNIP3L	exp	1
O15392	O60244	BIRC5	MED14	exp	1
O00267	O60244	SUPT5H	MED14	exp	1
O15194	O60245	CTDSPL	PCDH7	exp	1
O00148	O60245	DDX39A	PCDH7	exp	1
O15541	O60245	RNF113A	PCDH7	exp	1
O00571	O60260	DDX3X	PRKN	exp	1
O43242	O60260	PSMD3	PRKN	exp	1
O14818	O60260	PSMA7	PRKN	exp;pred	1
O43464	O60260	HTRA2	PRKN	exp	1
O15392	O60260	BIRC5	PRKN	exp	1
O00116	O60260	AGPS	PRKN	exp	1
O14979	O60260	HNRNPDL	PRKN	exp	1
O60260	O60260	PRKN	PRKN	exp;ortho;pred	1
O14965	O60260	AURKA	PRKN	exp	1
O00233	O60260	PSMD9	PRKN	exp	1
O60264	O60264	SMARCA5	SMARCA5	exp	1
O14862	O60264	AIM2	SMARCA5	exp	1
O43175	O60264	PHGDH	SMARCA5	exp	1
O00159	O60264	MYO1C	SMARCA5	exp;pred	1
O00422	O60264	SAP18	SMARCA5	exp;pred	1
O60271	O60271	SPAG9	SPAG9	exp	1
O43741	O60307	PRKAB2	MAST3	exp	1
O00743	O60307	PPP6C	MAST3	exp	1
O60260	O60313	PRKN	OPA1	exp	1
O43464	O60313	HTRA2	OPA1	exp	1
O00716	O60341	E2F3	KDM1A	exp	1
O60341	O60341	KDM1A	KDM1A	exp	1
O15379	O60341	HDAC3	KDM1A	exp;pred	1
O43597	O60341	SPRY2	KDM1A	exp	1
O15198	O60341	SMAD9	KDM1A	exp	1
O00233	O60341	PSMD9	KDM1A	exp	1
A1L157	O60462	TSPAN11	NRP2	exp	1
O60462	O60462	NRP2	NRP2	exp	1
O60504	O60504	SORBS3	SORBS3	exp;pred	1
O15357	O60504	INPPL1	SORBS3	exp;ortho	1
O14641	O60504	DVL2	SORBS3	exp;pred	1
O43143	O60506	DHX15	SYNCRIP	exp;pred	1
O60504	O60506	SORBS3	SYNCRIP	exp	1
O60260	O60506	PRKN	SYNCRIP	exp	1
O00571	O60506	DDX3X	SYNCRIP	exp	1
O00308	O60506	WWP2	SYNCRIP	exp	1
O60245	O60506	PCDH7	SYNCRIP	exp	1
O43829	O60506	ZBTB14	SYNCRIP	exp	1
O00161	O60506	SNAP23	SYNCRIP	exp	1
O60547	O60547	GMDS	GMDS	exp;pred	1
O43889	O60636	CREB3	TSPAN2	exp	1
O43684	O60645	BUB3	EXOC3	exp	1
O60662	O60662	KLHL41	KLHL41	exp	1
O60664	O60664	PLIN3	PLIN3	exp	1
O43175	O60664	PHGDH	PLIN3	exp	1
O14980	O60678	XPO1	PRMT3	exp	1
O00410	O60684	IPO5	KPNA6	exp;pred	1
O60518	O60684	RANBP6	KPNA6	exp	1
O43791	O60684	SPOP	KPNA6	exp	1
O00505	O60684	KPNA3	KPNA6	exp;pred	1
O60701	O60701	UGDH	UGDH	exp;ortho;pred	1
O43324	O60739	EEF1E1	EIF1B	exp	1
O15371	O60739	EIF3D	EIF1B	exp;pred	1
O43809	O60739	NUDT21	EIF1B	exp	1
O00303	O60739	EIF3F	EIF1B	exp;pred	1
O14641	O60739	DVL2	EIF1B	exp	1
O14818	O60739	PSMA7	EIF1B	exp	1
O00308	O60762	WWP2	DPM1	exp	1
O14653	O60763	GOSR2	USO1	exp;pred	1
O15498	O60763	YKT6	USO1	exp;ortho;pred	1
O60763	O60763	USO1	USO1	exp;ortho	1
O60260	O60784	PRKN	TOM1	exp;pred	1
A1L0T0	O60784	ILVBL	TOM1	exp	1
O14964	O60784	HGS	TOM1	exp;pred	1
O14980	O60784	XPO1	TOM1	exp	1
O15121	O60841	DEGS1	EIF5B	exp	1
O43670	O60841	ZNF207	EIF5B	exp	1
O14602	O60841	EIF1AY	EIF5B	exp;pred	1
O14980	O60841	XPO1	EIF5B	exp;ortho	1
O15264	O60841	MAPK13	EIF5B	exp	1
O14980	O60907	XPO1	TBL1X	exp	1
O15379	O60907	HDAC3	TBL1X	exp;pred	1
O60907	O60907	TBL1X	TBL1X	exp	1
O14641	O60907	DVL2	TBL1X	exp	1
O43847	O60907	NRDC	TBL1X	exp	1
O60443	O60939	GSDME	SCN2B	exp	1
O14787	O60939	TNPO2	SCN2B	exp	1
O43913	O60939	ORC5	SCN2B	exp	1
O43156	O60939	TTI1	SCN2B	exp	1
O60763	O60939	USO1	SCN2B	exp	1
O60313	O60939	OPA1	SCN2B	exp	1
O60307	O75044	MAST3	SRGAP2	exp	1
O43516	O75044	WIPF1	SRGAP2	exp	1
O75044	O75044	SRGAP2	SRGAP2	exp;pred	1
O75069	O75069	TMCC2	TMCC2	exp	1
O14964	O75069	HGS	TMCC2	exp	1
O60841	O75131	EIF5B	CPNE3	exp	1
O00571	O75147	DDX3X	OBSL1	exp	1
O43143	O75147	DHX15	OBSL1	exp	1
O75147	O75147	OBSL1	OBSL1	exp	1
O14980	O75147	XPO1	OBSL1	exp	1
O60841	O75147	EIF5B	OBSL1	exp	1
O00267	O75147	SUPT5H	OBSL1	exp	1
O60506	O75147	SYNCRIP	OBSL1	exp	1
O43172	O75147	PRPF4	OBSL1	exp	1
O43175	O75147	PHGDH	OBSL1	exp	1
O14958	O75147	CASQ2	OBSL1	exp	1
O14979	O75147	HNRNPDL	OBSL1	exp	1
O43809	O75147	NUDT21	OBSL1	exp	1
O60264	O75147	SMARCA5	OBSL1	exp	1
O15042	O75147	U2SURP	OBSL1	exp	1
O60341	O75147	KDM1A	OBSL1	exp	1
O60231	O75147	DHX16	OBSL1	exp	1
O15144	O75147	ARPC2	OBSL1	exp	1
O14818	O75157	PSMA7	TSC22D2	exp	1
O00422	O75157	SAP18	TSC22D2	exp	1
O60678	O75157	PRMT3	TSC22D2	exp	1
O15126	O75165	SCAMP1	DNAJC13	exp	1
O75177	O75177	SS18L1	SS18L1	exp	1
O14964	O75177	HGS	SS18L1	exp	1
O75190	O75190	DNAJB6	DNAJB6	exp	1
O14980	O75190	XPO1	DNAJB6	exp	1
O15198	O75197	SMAD9	LRP5	exp	1
O43715	O75208	TRIAP1	COQ9	exp	1
O60313	O75208	OPA1	COQ9	exp	1
O43615	O75208	TIMM44	COQ9	exp	1
O75208	O75208	COQ9	COQ9	exp	1
O43169	O75208	CYB5B	COQ9	exp	1
O14925	O75208	TIMM23	COQ9	exp	1
O60260	O75306	PRKN	NDUFS2	exp	1
O43678	O75306	NDUFA2	NDUFS2	exp;pred	1
O75208	O75306	COQ9	NDUFS2	exp	1
O00483	O75306	NDUFA4	NDUFS2	exp;pred	1
A7E2Y1	O75340	MYH7B	PDCD6	exp	1
O14980	O75340	XPO1	PDCD6	exp;ortho	1
O14965	O75340	AURKA	PDCD6	exp	1
O75340	O75340	PDCD6	PDCD6	exp;ortho	1
O00161	O75379	SNAP23	VAMP4	exp;pred	1
O14653	O75379	GOSR2	VAMP4	exp	1
O15400	O75379	STX7	VAMP4	exp;pred	1
O43678	O75380	NDUFA2	NDUFS6	exp;pred	1
O43318	O75380	MAP3K7	NDUFS6	exp	1
O00483	O75380	NDUFA4	NDUFS6	exp;pred	1
O75306	O75380	NDUFS2	NDUFS6	exp;pred	1
O15194	O75386	CTDSPL	TULP3	exp	1
O60645	O75386	EXOC3	TULP3	exp	1
O75147	O75386	OBSL1	TULP3	exp	1
O60841	O75390	EIF5B	CS	exp	1
O43670	O75390	ZNF207	CS	exp	1
O14653	O75396	GOSR2	SEC22B	exp;pred	1
O43889	O75396	CREB3	SEC22B	exp	1
O15400	O75396	STX7	SEC22B	exp;pred	1
O75147	O75396	OBSL1	SEC22B	exp	1
O75398	O75398	DEAF1	DEAF1	exp	1
O43516	O75400	WIPF1	PRPF40A	exp	1
O75400	O75400	PRPF40A	PRPF40A	exp;pred	1
O60506	O75400	SYNCRIP	PRPF40A	exp;pred	1
O43143	O75400	DHX15	PRPF40A	exp;pred	1
O15042	O75400	U2SURP	PRPF40A	exp	1
O75147	O75400	OBSL1	PRPF40A	exp	1
O00422	O75400	SAP18	PRPF40A	exp	1
O75436	O75436	VPS26A	VPS26A	exp	1
O43865	O75436	AHCYL1	VPS26A	exp	1
O75208	O75439	COQ9	PMPCB	exp	1
O15379	O75446	HDAC3	SAP30	exp;pred	1
O15417	O75446	TNRC18	SAP30	exp	1
O14980	O75474	XPO1	FRAT2	exp	1
O60244	O75478	MED14	TADA2A	exp	1
O43823	O75478	AKAP8	TADA2A	exp	1
O43741	O75478	PRKAB2	TADA2A	exp	1
O00571	O75478	DDX3X	TADA2A	exp	1
O43143	O75478	DHX15	TADA2A	exp	1
O60231	O75478	DHX16	TADA2A	exp	1
O14964	O75478	HGS	TADA2A	exp	1
O15379	O75496	HDAC3	GMNN	exp	1
O75496	O75496	GMNN	GMNN	exp	1
O14965	O75496	AURKA	GMNN	exp	1
O43678	O75521	NDUFA2	ECI2	exp	1
O75521	O75521	ECI2	ECI2	exp;pred	1
O60341	O75521	KDM1A	ECI2	exp	1
O75208	O75521	COQ9	ECI2	exp	1
O75478	O75528	TADA2A	TADA3	exp;pred	1
O00159	O75528	MYO1C	TADA3	exp	1
O00422	O75528	SAP18	TADA3	exp;pred	1
O43318	O75528	MAP3K7	TADA3	exp	1
O60341	O75528	KDM1A	TADA3	exp	1
O75531	O75531	BANF1	BANF1	exp	1
O14862	O75531	AIM2	BANF1	exp	1
O00159	O75533	MYO1C	SF3B1	exp;pred	1
O43143	O75533	DHX15	SF3B1	exp;pred	1
O75147	O75533	OBSL1	SF3B1	exp	1
O75400	O75533	PRPF40A	SF3B1	exp;pred	1
O43809	O75533	NUDT21	SF3B1	exp;pred	1
O15379	O75533	HDAC3	SF3B1	exp	1
O15198	O75533	SMAD9	SF3B1	exp	1
O43172	O75533	PRPF4	SF3B1	exp;pred	1
O00267	O75534	SUPT5H	CSDE1	exp	1
O14980	O75534	XPO1	CSDE1	exp	1
O60506	O75534	SYNCRIP	CSDE1	exp;pred	1
O00308	O75534	WWP2	CSDE1	exp	1
O14641	O75563	DVL2	SKAP2	exp	1
O75190	O75563	DNAJB6	SKAP2	exp	1
O14640	O75563	DVL1	SKAP2	exp	1
O75563	O75563	SKAP2	SKAP2	exp;ortho;pred	1
O75581	O75581	LRP6	LRP6	exp	1
O14958	O75592	CASQ2	MYCBP2	exp	1
O14965	O75604	AURKA	USP2	exp	1
O43318	O75604	MAP3K7	USP2	exp	1
O43318	O75663	MAP3K7	TIPRL	exp;ortho;pred	1
O00743	O75663	PPP6C	TIPRL	exp;pred	1
O00410	O75665	IPO5	OFD1	exp	1
O43768	O75665	ENSA	OFD1	exp	1
O00267	O75665	SUPT5H	OFD1	exp	1
O75665	O75665	OFD1	OFD1	exp	1
O60308	O75665	CEP104	OFD1	exp	1
O43837	O75665	IDH3B	OFD1	exp	1
A6NKD9	O75665	CCDC85C	OFD1	exp	1
O75147	O75694	OBSL1	NUP155	exp	1
O43597	O75716	SPRY2	STK16	exp	1
O75716	O75716	STK16	STK16	exp;ortho	1
O00308	O75787	WWP2	ATP6AP2	exp	1
O43889	O75787	CREB3	ATP6AP2	exp	1
O75787	O75787	ATP6AP2	ATP6AP2	exp	1
O43504	O75787	LAMTOR5	ATP6AP2	exp	1
O75396	O75787	SEC22B	ATP6AP2	exp	1
O15067	O75815	PFAS	BCAR3	exp	1
O43242	O75815	PSMD3	BCAR3	exp	1
O60506	O75815	SYNCRIP	BCAR3	exp	1
O60739	O75821	EIF1B	EIF3G	exp;pred	1
O75821	O75821	EIF3G	EIF3G	exp;ortho;pred	1
O15371	O75821	EIF3D	EIF3G	exp;pred	1
O00571	O75821	DDX3X	EIF3G	exp;pred	1
O00303	O75821	EIF3F	EIF3G	exp;pred	1
O43242	O75832	PSMD3	PSMD10	exp;pred	1
O60260	O75832	PRKN	PSMD10	exp;pred	1
O00308	O75832	WWP2	PSMD10	exp;pred	1
O14980	O75843	XPO1	AP1G2	exp;ortho	1
O60341	O75843	KDM1A	AP1G2	exp	1
O14880	O75844	MGST3	ZMPSTE24	exp	1
O75865	O75865	TRAPPC6A	TRAPPC6A	exp;pred	1
O60506	O75880	SYNCRIP	SCO1	exp	1
O00483	O75880	NDUFA4	SCO1	exp	1
O75880	O75880	SCO1	SCO1	exp;ortho	1
O75888	O75888	TNFSF13	TNFSF13	exp;pred	1
A1L157	O75915	TSPAN11	ARL6IP5	exp	1
O60636	O75915	TSPAN2	ARL6IP5	exp	1
A4UGR9	O75923	XIRP2	DYSF	exp	1
O75190	O75923	DNAJB6	DYSF	exp	1
O43143	O75923	DHX15	DYSF	exp	1
O15105	O75925	SMAD7	PIAS1	exp	1
O75925	O75925	PIAS1	PIAS1	exp	1
O75400	O75925	PRPF40A	PIAS1	exp	1
O43791	O75925	SPOP	PIAS1	exp	1
O75925	O75928	PIAS1	PIAS2	exp;pred	1
O15379	O75928	HDAC3	PIAS2	exp;pred	1
O75928	O75928	PIAS2	PIAS2	exp	1
O43741	O75928	PRKAB2	PIAS2	exp	1
O75208	O75947	COQ9	ATP5H	exp	1
O15258	O75947	RER1	ATP5H	exp	1
O00483	O75947	NDUFA4	ATP5H	exp;pred	1
O14949	O75947	UQCRQ	ATP5H	exp;pred	1
O00422	O75964	SAP18	ATP5L	exp;pred	1
A1L0T0	O75964	ILVBL	ATP5L	exp	1
O15400	O75964	STX7	ATP5L	exp	1
O14949	O75964	UQCRQ	ATP5L	exp;pred	1
O14828	O75964	SCAMP3	ATP5L	exp	1
O75947	O75964	ATP5H	ATP5L	exp;pred	1
O15258	O75964	RER1	ATP5L	exp	1
O75147	O76021	OBSL1	RSL1D1	exp	1
O75208	O76031	COQ9	CLPX	exp	1
O60260	O76031	PRKN	CLPX	exp	1
O94782	O94782	USP1	USP1	exp	1
O75436	O94782	VPS26A	USP1	exp	1
O60506	O94782	SYNCRIP	USP1	exp	1
O14980	O94808	XPO1	GFPT2	exp	1
A2RTX5	O94808	TARSL2	GFPT2	exp	1
O94842	O94842	TOX4	TOX4	exp	1
O75533	O94842	SF3B1	TOX4	exp	1
O00159	O94875	MYO1C	SORBS2	exp	1
O94875	O94875	SORBS2	SORBS2	exp;pred	1
O14920	O94885	IKBKB	SASH1	exp;ortho	1
O43865	O94885	AHCYL1	SASH1	exp	1
O43318	O94885	MAP3K7	SASH1	exp;ortho	1
O15397	O94885	IPO8	SASH1	exp	1
O00165	O94905	HAX1	ERLIN2	exp	1
O75340	O94905	PDCD6	ERLIN2	exp	1
O75478	O94906	TADA2A	PRPF6	exp	1
O60260	O94906	PRKN	PRPF6	exp	1
O94906	O94906	PRPF6	PRPF6	exp	1
O00422	O94906	SAP18	PRPF6	exp	1
O43615	O94906	TIMM44	PRPF6	exp;pred	1
O43172	O94906	PRPF4	PRPF6	exp;ortho;pred	1
O75147	O94906	OBSL1	PRPF6	exp	1
O14980	O94927	XPO1	HAUS5	exp	1
O14593	O94927	RFXANK	HAUS5	exp	1
O75665	O94927	OFD1	HAUS5	exp;pred	1
O94985	O94985	CLSTN1	CLSTN1	exp	1
O94992	O94992	HEXIM1	HEXIM1	exp	1
O00267	O95071	SUPT5H	UBR5	exp	1
O43684	O95071	BUB3	UBR5	exp	1
O95071	O95071	UBR5	UBR5	exp	1
O43670	O95071	ZNF207	UBR5	exp	1
O14980	O95071	XPO1	UBR5	exp;pred	1
O75147	O95104	OBSL1	SCAF4	exp	1
O00203	O95147	AP3B1	DUSP14	exp	1
O95154	O95154	AKR7A3	AKR7A3	exp	1
O14964	O95155	HGS	UBE4B	exp	1
O43678	O95155	NDUFA2	UBE4B	exp	1
O95155	O95155	UBE4B	UBE4B	exp;ortho	1
O00762	O95155	UBE2C	UBE4B	exp	1
O43865	O95155	AHCYL1	UBE4B	exp	1
O75436	O95155	VPS26A	UBE4B	exp	1
O75380	O95168	NDUFS6	NDUFB4	exp;pred	1
O00483	O95168	NDUFA4	NDUFB4	exp;pred	1
O75815	O95197	BCAR3	RTN3	exp	1
O14735	O95197	CDIPT	RTN3	exp	1
